Average Life Expectancy,Race,Sex,Year
76.7,Black,Female,2006
77,Black,Female,2007
77.3,Black,Female,2008
77.7,Black,Female,2009
78,Black,Female,2010
78.2,Black,Female,2011
78.4,Black,Female,2012
78.4,Black,Female,2013
32.5,Black,Male,1900
32.2,Black,Male,1901
32.9,Black,Male,1902
31.7,Black,Male,1903
29.1,Black,Male,1904
29.6,Black,Male,1905
31.8,Black,Male,1906
31.1,Black,Male,1907
33.8,Black,Male,1908
34.2,Black,Male,1909
33.8,Black,Male,1910
34.6,Black,Male,1911
35.9,Black,Male,1912
36.7,Black,Male,1913
37.1,Black,Male,1914
37.5,Black,Male,1915
39.6,Black,Male,1916
37,Black,Male,1917
29.9,Black,Male,1918
44.5,Black,Male,1919
45.5,Black,Male,1920
51.6,Black,Male,1921
51.8,Black,Male,1922
47.7,Black,Male,1923
45.5,Black,Male,1924
44.9,Black,Male,1925
43.7,Black,Male,1926
47.6,Black,Male,1927
45.6,Black,Male,1928
45.7,Black,Male,1929
47.3,Black,Male,1930
49.5,Black,Male,1931
52.8,Black,Male,1932
53.5,Black,Male,1933
50.2,Black,Male,1934
51.3,Black,Male,1935
47,Black,Male,1936
48.3,Black,Male,1937
51.7,Black,Male,1938
53.2,Black,Male,1939
51.5,Black,Male,1940
52.5,Black,Male,1941
55.4,Black,Male,1942
55.4,Black,Male,1943
55.8,Black,Male,1944
56.1,Black,Male,1945
57.5,Black,Male,1946
57.9,Black,Male,1947
58.1,Black,Male,1948
58.9,Black,Male,1949
59.1,Black,Male,1950
59.2,Black,Male,1951
59.1,Black,Male,1952
59.7,Black,Male,1953
61.1,Black,Male,1954
61.4,Black,Male,1955
61.3,Black,Male,1956
60.7,Black,Male,1957
61,Black,Male,1958
61.3,Black,Male,1959
61.1,Black,Male,1960
62,Black,Male,1961
61.6,Black,Male,1962
61,Black,Male,1963
61.3,Black,Male,1964
61.2,Black,Male,1965
60.9,Black,Male,1966
61.4,Black,Male,1967
60.4,Black,Male,1968
60.6,Black,Male,1969
60,Black,Male,1970
60.5,Black,Male,1971
60.4,Black,Male,1972
60.9,Black,Male,1973
61.7,Black,Male,1974
62.4,Black,Male,1975
62.9,Black,Male,1976
63.4,Black,Male,1977
63.7,Black,Male,1978
64,Black,Male,1979
63.8,Black,Male,1980
64.5,Black,Male,1981
65.1,Black,Male,1982
65.2,Black,Male,1983
65.3,Black,Male,1984
65,Black,Male,1985
64.8,Black,Male,1986
64.7,Black,Male,1987
64.4,Black,Male,1988
64.3,Black,Male,1989
64.5,Black,Male,1990
64.6,Black,Male,1991
65,Black,Male,1992
64.6,Black,Male,1993
64.9,Black,Male,1994
65.2,Black,Male,1995
66.1,Black,Male,1996
67.2,Black,Male,1997
67.6,Black,Male,1998
67.8,Black,Male,1999
68.2,Black,Male,2000
68.5,Black,Male,2001
68.7,Black,Male,2002
68.9,Black,Male,2003
69.4,Black,Male,2004
69.5,Black,Male,2005
69.9,Black,Male,2006
70.3,Black,Male,2007
70.9,Black,Male,2008
71.4,Black,Male,2009
71.8,Black,Male,2010
72.2,Black,Male,2011
72.3,Black,Male,2012
72.3,Black,Male,2013
48.7,White,Female,1900
51,White,Female,1901
53.8,White,Female,1902
52.5,White,Female,1903
49.5,White,Female,1904
50.6,White,Female,1905
51.4,White,Female,1906
50.4,White,Female,1907
53.3,White,Female,1908
54.2,White,Female,1909
52,White,Female,1910
54.9,White,Female,1911
56.2,White,Female,1912
55.7,White,Female,1913
57.5,White,Female,1914
57.5,White,Female,1915
55.2,White,Female,1916
55.3,White,Female,1917
43.2,White,Female,1918
57.4,White,Female,1919
55.6,White,Female,1920
62.9,White,Female,1921
61.9,White,Female,1922
59.6,White,Female,1923
63.4,White,Female,1924
62.4,White,Female,1925
59.6,White,Female,1926
63.9,White,Female,1927
60,White,Female,1928
60.3,White,Female,1929
63.5,White,Female,1930
64.7,White,Female,1931
64.5,White,Female,1932
66.3,White,Female,1933
64.6,White,Female,1934
65,White,Female,1935
61.9,White,Female,1936
63.8,White,Female,1937
66.8,White,Female,1938
66.6,White,Female,1939
66.6,White,Female,1940
68.5,White,Female,1941
69.4,White,Female,1942
65.7,White,Female,1943
68.4,White,Female,1944
69.5,White,Female,1945
70.3,White,Female,1946
70.5,White,Female,1947
71,White,Female,1948
71.9,White,Female,1949
72.2,White,Female,1950
72.4,White,Female,1951
72.6,White,Female,1952
73,White,Female,1953
73.7,White,Female,1954
73.7,White,Female,1955
73.9,White,Female,1956
73.7,White,Female,1957
73.9,White,Female,1958
74.2,White,Female,1959
74.1,White,Female,1960
74.6,White,Female,1961
74.5,White,Female,1962
74.4,White,Female,1963
74.7,White,Female,1964
74.8,White,Female,1965
74.8,White,Female,1966
75.2,White,Female,1967
75,White,Female,1968
75.3,White,Female,1969
75.6,White,Female,1970
75.8,White,Female,1971
75.9,White,Female,1972
76.1,White,Female,1973
76.7,White,Female,1974
77.3,White,Female,1975
77.5,White,Female,1976
77.9,White,Female,1977
78,White,Female,1978
78.4,White,Female,1979
78.1,White,Female,1980
78.4,White,Female,1981
78.7,White,Female,1982
78.7,White,Female,1983
78.7,White,Female,1984
78.7,White,Female,1985
78.8,White,Female,1986
78.9,White,Female,1987
78.9,White,Female,1988
79.2,White,Female,1989
79.4,White,Female,1990
79.6,White,Female,1991
79.8,White,Female,1992
79.5,White,Female,1993
79.6,White,Female,1994
79.6,White,Female,1995
79.7,White,Female,1996
79.9,White,Female,1997
80,White,Female,1998
79.9,White,Female,1999
79.9,White,Female,2000
80,White,Female,2001
80.1,White,Female,2002
80.2,White,Female,2003
80.5,White,Female,2004
80.5,White,Female,2005
80.7,White,Female,2006
80.9,White,Female,2007
80.9,White,Female,2008
81.2,White,Female,2009
81.3,White,Female,2010
81.3,White,Female,2011
81.4,White,Female,2012
81.4,White,Female,2013
46.6,White,Male,1900
48,White,Male,1901
50.2,White,Male,1902
49.5,White,Male,1903
46.6,White,Male,1904
47.6,White,Male,1905
47.3,White,Male,1906
46,White,Male,1907
49.9,White,Male,1908
50.9,White,Male,1909
48.6,White,Male,1910
51.3,White,Male,1911
51.9,White,Male,1912
50.8,White,Male,1913
52.7,White,Male,1914
53.1,White,Male,1915
50.2,White,Male,1916
49.3,White,Male,1917
37.1,White,Male,1918
54.5,White,Male,1919
54.4,White,Male,1920
60.8,White,Male,1921
59.1,White,Male,1922
57.1,White,Male,1923
59.8,White,Male,1924
59.3,White,Male,1925
57,White,Male,1926
60.5,White,Male,1927
57,White,Male,1928
57.2,White,Male,1929
59.7,White,Male,1930
60.8,White,Male,1931
62,White,Male,1932
62.7,White,Male,1933
60.5,White,Male,1934
61,White,Male,1935
58,White,Male,1936
59.3,White,Male,1937
63.2,White,Male,1938
63.3,White,Male,1939
62.1,White,Male,1940
64.4,White,Male,1941
65.9,White,Male,1942
63.2,White,Male,1943
64.5,White,Male,1944
64.4,White,Male,1945
65.1,White,Male,1946
65.2,White,Male,1947
65.5,White,Male,1948
66.2,White,Male,1949
66.5,White,Male,1950
66.5,White,Male,1951
66.6,White,Male,1952
66.8,White,Male,1953
67.5,White,Male,1954
67.4,White,Male,1955
67.5,White,Male,1956
67.2,White,Male,1957
